AvgMeanTime(ms), Sever InnerTime
0.0,1.903569
0.862591,1.867439
17.172567,1.826247
16.869682,1.783156
16.839608,1.8047
16.65934,1.75999
16.403817,1.718711
16.039681,1.681274
16.023512,1.642225
15.967047,1.609468
16.032683,1.574334
16.053646,1.537834
16.019383,1.504102
15.973384,1.467851
15.717053,1.427107
15.779253,1.39395
15.211222,1.35925
15.101722,1.334699
15.001416,1.300273
14.891652,1.268166
14.626992,1.240146
14.954382,1.202117
14.427536,1.164622
13.945217,1.146051
14.305794,1.118837
13.833326,1.092249
13.636164,1.066856
13.545243,1.042588
13.41224,1.011429
13.348384,0.981579
13.198601,0.96421
12.962932,0.941034
12.885484,0.92201
12.821451,0.902109
12.398143,0.883612
12.520039,0.866877
12.451677,0.851457
12.69101,0.842172
12.276503,0.8276
12.472665,0.818455
12.885096,0.805382
12.909983,0.789863
34.383032,0.774477
34.434658,0.758534
33.025513,0.744364
32.207644,0.733257
31.468851,0.720306
30.88048,0.706013
30.725339,0.683225
29.963944,0.690479
29.037041,0.877929
27.865682,0.853995
26.688215,0.830126
25.580843,0.812551
24.639507,0.794487
23.639345,0.77612
22.733239,0.757047
21.818073,0.738359
20.984459,0.720849
20.146353,0.703424
19.358674,0.687739
18.638968,0.672882
17.937271,0.658266
20.943524,0.645348
20.866604,0.63445
20.058126,0.622872
19.28696,0.611326
18.552419,0.59992
17.860861,0.591326
17.193727,0.582346
16.56442,0.574419
15.969127,0.564864
15.399961,0.556774
14.858631,0.550816
14.337459,0.542312
13.843762,0.535108
13.382227,0.526194
12.931154,0.51829
12.490734,0.511697
12.102075,0.505337
11.725935,0.498911
11.411979,0.494854
11.120712,0.488994
10.828533,0.483697
10.555687,0.481156
10.290207,0.476772
9.996993,0.472857
10.935489,0.466993
11.112165,0.461703
11.470448,0.739205
11.247611,0.719986
11.238187,0.701744
11.231463,0.685906
11.68646,0.668782
11.658444,0.654386
12.050547,0.63742
12.215111,0.624205
12.372183,0.616969
12.209558,0.605354
12.617173,0.596508
12.548078,0.585584
12.391533,0.573197
11.987085,0.560679
11.63274,0.549825
16.133305,0.541959
16.10356,0.533153
15.558079,0.522888
15.012651,0.514819
14.645703,0.509506
14.131513,0.492739
13.644557,0.485856
13.18164,0.478814
12.751064,0.473354
12.448337,0.465963
12.100876,0.459313
11.742737,0.452896
12.611347,0.444849
12.859568,0.442357
12.423454,0.435983
12.016592,0.430645
11.658773,0.425083
11.287368,0.421028
11.176864,0.413144
11.626278,0.40775
11.502495,0.403864
11.360274,0.405957
11.451931,0.398475
11.317347,0.39393
10.968846,0.391183
10.646593,0.383979
10.334962,0.381241
10.063725,0.377863
9.776814,0.374045
9.538181,0.371942
9.292465,0.368094
9.051499,0.365549
8.810333,0.362995
8.584923,0.361738
12.953236,0.361825
13.048161,0.360573
12.618207,0.35159
12.260605,0.351665
12.009564,0.350349
12.000727,0.353096
11.632788,0.348539
11.288678,0.347115
10.938999,0.345106
10.609899,0.34103
10.287723,0.332748
9.99128,0.334181
9.887864,0.33159
9.629884,0.330351
9.373611,0.332485
9.372043,0.329468
9.14103,0.328275
8.902571,0.325154
8.669684,0.318327
8.475142,0.318287
8.275932,0.31994
8.640141,0.320946
8.927191,0.320024
