AvgMeanTime(ms), Sever InnerTime
0.0,1.90261
0.447865,2.160927
18.707143,2.11526
17.904792,2.053099
18.548569,2.044673
17.914078,1.989689
17.446642,1.931961
16.869034,1.882263
16.485026,1.828482
16.035532,1.78352
15.872948,1.736165
15.577419,1.691583
15.245881,1.652904
15.261147,1.618569
15.162947,1.570894
14.783195,1.534077
14.739888,1.487856
14.447874,1.551585
14.658847,1.510581
14.493742,1.467698
14.300034,1.423348
13.817436,1.660401
13.453296,1.61564
24.870817,1.560281
24.377163,1.507138
23.395452,1.457926
22.452918,1.407694
21.922083,1.369864
21.699917,1.328793
21.206512,1.289131
21.255545,1.251463
21.106883,1.219357
20.649298,1.188726
19.897781,1.154382
19.224042,1.125978
18.511084,1.094671
18.038262,1.079652
17.366096,1.042775
16.732761,1.014436
16.142056,0.987215
15.565214,0.964751
15.1276,0.943576
14.675238,0.924705
14.224721,0.898198
17.453341,0.876071
16.685713,0.854407
16.195601,0.83413
15.695959,0.81612
15.129768,0.793826
15.186885,0.77837
15.690445,0.762734
15.352119,0.758911
15.42126,0.753869
14.982531,0.741062
14.542154,0.72557
14.051759,0.711419
13.666427,0.700169
13.230034,0.686912
12.833733,0.676256
12.448744,0.664785
12.069861,0.655218
11.700153,0.64804
11.370139,0.637922
11.056738,0.628964
10.732683,0.621327
14.073415,0.613668
14.233746,0.605279
13.782982,0.603217
13.398538,0.593853
13.03294,0.590107
12.874528,0.583549
12.498115,0.574845
12.186032,0.571239
12.417583,0.581504
12.387979,0.573203
12.084717,0.561703
12.417606,0.553048
12.344051,0.546166
12.407639,0.53776
12.675851,0.537971
12.283789,0.53159
12.489898,0.526041
12.239614,0.520596
12.610458,0.515513
12.233601,0.510381
12.534543,0.505193
18.44636,0.499875
18.157035,0.494144
17.810109,0.489348
17.760929,0.48235
17.086567,0.479176
16.938515,0.476578
16.774506,0.46869
16.418873,0.461645
15.8991,0.453907
15.536663,0.451406
15.292171,0.447745
14.774699,0.444054
14.296081,0.439161
13.82126,0.427012
13.354611,0.416716
12.925222,0.414681
12.50487,0.413973
12.420812,0.413244
12.032936,0.406913
11.73439,0.40418
11.456092,0.403219
15.603952,0.403471
16.128604,0.402478
15.623251,0.399195
15.334699,0.397833
15.039103,0.397069
14.752066,0.395406
14.463133,0.39475
14.880252,0.393095
14.604973,0.391712
14.354507,0.388994
14.554832,0.387048
14.457351,0.385646
14.456604,0.381307
14.510705,0.375007
14.226448,0.377335
14.086353,0.373944
14.57995,0.370824
14.900318,0.370641
14.415181,0.368937
14.500992,0.361505
14.21274,0.359982
13.789155,0.350279
14.156943,0.348538
13.779549,0.34224
14.432754,0.338764
14.187968,0.343329
14.019445,0.342008
14.143699,0.340667
13.880687,0.339159
13.871157,0.338007
13.68313,0.339065
13.669076,0.340391
13.584688,0.340755
13.649927,0.339948
13.794001,0.340303
13.719418,0.33864
13.804008,0.334888
14.081408,0.33276
13.921895,0.330438
13.995899,0.327208
14.267743,0.325567
20.234354,0.329581
19.742298,0.333288
19.217511,0.331936
19.037425,0.329968
18.36998,0.33038
17.760976,0.332734
17.259388,0.329034
16.693058,0.327545
16.142816,0.323994
15.711543,0.322092
15.308436,0.320325
14.828371,0.318594
14.452557,0.317633
14.019204,0.317197
13.752518,0.316139
13.366421,0.317012
13.095441,0.315688
12.727447,0.316072
12.501663,0.314365
12.168021,0.313841
11.94407,0.313157
11.645032,0.312534
11.443678,0.309479
11.1551,0.309719
11.032393,0.309387
10.77396,0.309347
10.525812,0.309191
10.469848,0.30789
10.418584,0.306509
10.272215,0.305524
10.164325,0.305004
10.068092,0.303547
9.907371,0.305018
9.737472,0.304143
10.266741,0.303776
10.026141,0.302267
9.756344,0.301178
9.694726,0.301015
9.675218,0.303085
9.635267,0.303566
9.545403,0.302296
16.13591,0.304364
16.296671,0.304238
16.229094,0.302837
15.842614,0.304252
15.585234,0.303795
15.62283,0.303731
15.421123,0.303142
15.134683,0.302436
15.186011,0.301552
14.710919,0.301333
14.562359,0.300959
14.489489,0.30065
14.062339,0.298585
13.955903,0.295351
14.094725,0.295922
14.06795,0.295506
14.223052,0.293898
14.138882,0.291679
14.057318,0.292355
14.10783,0.291548
14.421635,0.29071
14.129188,0.293243
13.826807,0.295592
14.600107,0.287832
14.194859,0.287507
14.023773,0.288657
13.709978,0.288761
13.664651,0.290958
13.629488,0.290698
13.503506,0.291357
13.185277,0.70516
13.311878,0.685642
13.6016,0.662375
13.337739,0.643622
13.37178,0.625438
